date,done,total,percentage
2023-05-16,485,1785,27
2023-05-16,485,1785,27
2023-05-16,485,1785,27
2023-05-16,485,1785,27
2023-05-16,485,1785,27
2023-05-22,485,1785,27
2023-05-22,485,1785,27
2023-05-22,485,1785,27
2023-05-22,490,1785,27
2023-05-23,491,1891,25
2023-05-23,533,1891,28
2023-05-23,541,1891,28
2023-05-23,541,1891,28
2023-05-23,552,1891,29
2023-05-25,554,1891,29
2023-05-25,554,1891,29
2023-05-25,554,1891,29
2023-05-25,554,1891,29
2023-05-25,554,1891,29
2023-05-25,554,1891,29
2023-05-25,554,1891,29
2023-05-25,561,1891,29
2023-06-01,561,1891,29
2023-06-08,584,1901,30
2023-06-08,601,1901,31
2023-06-08,616,1901,32
2023-06-22,624,1901,32
2023-06-27,633,1901,33
2023-06-27,632,1863,33
2023-08-02,649,1863,34
2023-08-02,661,1866,35
2023-08-02,683,1866,36
2023-10-20,688,1858,37
2023-10-20,694,1858,37
2023-11-27,774,2508,30
2023-11-27,775,2508,30
2023-11-27,785,2508,31
2023-12-27,786,2508,31
2023-12-27,809,2634,30
2023-12-27,875,2627,33
2024-01-02,899,2627,34
2024-01-02,914,2627,34
2024-01-09,923,2627,35
2024-01-09,923,2627,35
2024-01-29,941,2627,35
2024-01-29,970,2627,36
2024-01-29,976,2627,37
2024-01-29,976,2627,37
2024-01-29,1007,2627,38
2024-01-29,981,2521,38
2024-01-29,985,2521,39
2024-02-26,1038,2623,39
2024-02-26,1044,2623,39
2024-02-26,1066,2623,40
2024-02-26,1078,2623,41
2024-02-26,1078,2623,41
2024-02-26,1115,2623,42
2024-04-16,1138,2825,40
2024-04-17,1163,2825,41
2024-07-23,1057,2542,41
2024-09-02,1057,2542,41
